line_start	selector	property_count	important_count	media_query
3597	.section--category-grid .collection-list__wrapper	10	10	@media (min-width: 799px)
3611	.section--category-grid .collection-list__thumbnail	5	5	@media (min-width: 799px)
3621	.section--category-grid .collection-list__thumbnail .product-wrap	2	2	@media (min-width: 799px)
3625	.section--category-grid .collection-list__thumbnail .thumbnail.image__container	2	2	@media (min-width: 799px)
3629	.section--category-grid .collection-list__thumbnail .image-element__wrap	3	3	@media (min-width: 799px)
3634	.section--category-grid .collection-list__thumbnail img	4	4	@media (min-width: 799px)
3645	.section--category-grid .collection-list__wrapper	1	0	@media (max-width: 798px)
3649	.section--category-grid .collection-info__caption .title	4	0	
3657	.section--category-grid .collection-info__caption .button	7	0	
3671	.section--category-grid .collection-list__wrapper	2	0	@media (max-width: 798px)
3683	.section--category-grid .collection-list__thumbnail	3	0	@media (min-width: 799px) and (prefers-reduced-motion: no-preference)
